src	class	file	size
tools_07	skin_tone	tools_07_skin_tone.jpg	2729x1960
tools_07	dark_object	tools_07_dark_object.jpg	2729x1960
tools_07	glossy	tools_07_glossy.jpg	2729x1960
usbcable_03	skin_tone	usbcable_03_skin_tone.jpg	2000x1333
usbcable_03	white_on_white	usbcable_03_white_on_white.jpg	2000x1333
usbcable_03	low_contrast	usbcable_03_low_contrast.jpg	2000x1333
books_03	skin_tone	books_03_skin_tone.jpg	1300x860
books_03	hand_below	books_03_hand_below.jpg	1300x860
books_03	glossy	books_03_glossy.jpg	1300x860
tech_06	dark_object	tech_06_dark_object.jpg	1024x682
tech_06	white_on_white	tech_06_white_on_white.jpg	1024x682
tech_06	low_contrast	tech_06_low_contrast.jpg	1024x682
tools_03	hand_below	tools_03_hand_below.jpg	2665x1960
tools_03	glossy	tools_03_glossy.jpg	2665x1960
tools_03	skin_tone	tools_03_skin_tone.jpg	2665x1960
